language,language_name,status,expected_file,repository_file_bytes,sampled_records,passage_slots,passage_char_p50,passage_char_p95,passage_char_p100,passage_word_p50,passage_word_p95,error
as,Assamese,ok,validation/asmval.parquet,470284966,250,2496,285.0,550.25,3497.0,44.0,88.0,
bn,Bengali,ok,validation/benval.parquet,462777608,250,2496,292.0,573.0,3718.0,45.0,90.0,
gu,Gujarati,ok,validation/gujval.parquet,461249303,250,2496,285.0,546.0,3350.0,47.0,93.25,
hi,Hindi,ok,validation/hinval.parquet,461888616,250,2496,295.0,570.0,7956.0,57.0,111.0,
kn,Kannada,ok,validation/kanval.parquet,482734885,250,2496,312.0,608.25,2540.0,37.0,73.0,
ml,Malayalam,ok,validation/malval.parquet,493598017,250,2496,327.0,647.0,3412.0,35.0,70.25,
mr,Marathi,ok,validation/marval.parquet,473618819,250,2496,290.0,557.25,7385.0,42.0,83.0,
ne,Nepali,ok,validation/nepval.parquet,466513930,250,2496,286.0,561.0,7538.0,43.0,84.0,
or,Odia,ok,validation/orival.parquet,466515731,250,2496,292.0,574.0,1873.0,45.0,95.0,
pa,Punjabi,ok,validation/panval.parquet,459536147,250,2496,294.0,578.25,2735.0,57.0,114.25,
sa,Sanskrit,ok,validation/sanval.parquet,494213431,250,2496,307.0,601.25,12809.0,36.0,74.0,
ta,Tamil,ok,validation/tamval.parquet,493049000,250,2496,337.0,666.5,3516.0,38.0,78.0,
te,Telugu,ok,validation/telval.parquet,474142748,250,2496,299.0,593.0,2558.0,38.0,77.25,
ur,Urdu,ok,validation/urdval.parquet,419206311,250,2496,290.0,563.25,6847.0,62.0,123.25,
