language,metric,count,mean,p0,p25,p50,p70,p75,p90,p95,p99,p100
as,english_answer_characters,249,57.5863453815261,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,320.68000000000006,414.0
as,english_answer_tokens,249,14.17269076305221,1.0,4.0,4.0,16.0,20.0,33.39999999999998,51.599999999999994,89.08000000000004,99.0
as,english_answer_utf8_bytes,249,57.65461847389558,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,322.6,414.0
as,english_answer_whitespace_words,249,9.74698795180723,1.0,3.0,3.0,9.599999999999994,13.0,24.399999999999977,32.0,55.52000000000001,82.0
as,english_passage_characters,2496,322.2864583333333,55.0,250.75,296.0,327.0,346.0,516.0,579.25,717.3500000000013,943.0
as,english_passage_tokens,2496,79.25600961538461,11.0,61.0,72.0,84.0,89.0,124.0,144.0,173.10000000000036,299.0
as,english_passage_utf8_bytes,2496,323.2840544871795,55.0,252.0,297.0,327.0,347.25,518.5,580.0,717.3500000000013,943.0
as,english_passage_whitespace_words,2496,54.765625,3.0,42.0,50.0,58.0,61.0,86.0,102.0,123.05000000000018,169.0
as,english_query_characters,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
as,english_query_tokens,250,7.752,2.0,6.0,7.0,9.0,10.0,12.0,13.0,14.509999999999991,18.0
as,english_query_utf8_bytes,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
as,english_query_whitespace_words,250,5.812,2.0,4.0,6.0,7.0,7.0,8.0,9.0,12.509999999999991,15.0
as,passage_translation_character_ratio,2496,0.988864750962665,0.3037974683544304,0.898996342854455,0.9701320981300394,1.0230454079890747,1.0388922032031571,1.1045776282200046,1.1453624879362747,1.2531027585244456,31.065217391304348
as,passage_translation_word_ratio,2496,0.9018831450854213,0.25806451612903225,0.8163265306122449,0.8903274306715669,0.9428571428571428,0.9578931924882629,1.0227272727272727,1.0634920634920635,1.170815811606392,23.266666666666666
as,passages_per_record,250,9.984,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
as,translated_answer_characters,250,87.608,2.0,26.0,26.0,60.50000000000006,79.0,156.09999999999994,223.75000000000006,376.5899999999999,3379.0
as,translated_answer_tokens,250,34.436,1.0,10.0,10.0,30.30000000000001,38.0,73.0,106.65000000000003,186.52999999999997,958.0
as,translated_answer_utf8_bytes,250,236.008,6.0,70.0,70.0,165.60000000000014,215.5,423.5,604.7500000000002,999.8899999999996,9227.0
as,translated_answer_whitespace_words,250,13.608,1.0,5.0,5.0,10.0,12.5,23.299999999999983,34.0,63.50999999999999,456.0
as,translated_passage_characters,2496,315.2139423076923,51.0,239.0,285.0,326.0,343.25,482.0,550.25,696.5000000000018,3497.0
as,translated_passage_tokens,2496,142.92948717948718,20.0,107.0,130.0,151.0,159.0,215.0,249.25,317.15000000000055,2095.0
as,translated_passage_utf8_bytes,2496,834.7648237179487,137.0,630.75,756.0,864.0,904.25,1265.5,1457.75,1859.8000000000065,9369.0
as,translated_passage_whitespace_words,2496,48.755208333333336,6.0,36.0,44.0,51.0,54.0,74.0,88.0,114.0,551.0
as,translated_query_characters,250,34.788,9.0,24.25,34.0,41.0,43.0,52.0,57.55000000000001,71.52999999999997,90.0
as,translated_query_tokens,250,16.228,4.0,12.0,16.0,19.0,20.0,25.0,27.0,32.50999999999999,38.0
as,translated_query_utf8_bytes,250,94.596,23.0,68.25,92.0,112.0,117.0,141.1,158.30000000000007,193.56999999999994,230.0
as,translated_query_whitespace_words,250,5.5,2.0,4.0,5.0,6.0,7.0,8.0,9.0,12.019999999999982,19.0
bn,english_answer_characters,249,57.5863453815261,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,320.68000000000006,414.0
bn,english_answer_tokens,249,14.17269076305221,1.0,4.0,4.0,16.0,20.0,33.39999999999998,51.599999999999994,89.08000000000004,99.0
bn,english_answer_utf8_bytes,249,57.65461847389558,2.0,18.0,18.0,60.39999999999998,80.0,150.0,219.19999999999987,322.6,414.0
bn,english_answer_whitespace_words,249,9.74698795180723,1.0,3.0,3.0,9.599999999999994,13.0,24.399999999999977,32.0,55.52000000000001,82.0
bn,english_passage_characters,2496,322.2864583333333,55.0,250.75,296.0,327.0,346.0,516.0,579.25,717.3500000000013,943.0
bn,english_passage_tokens,2496,79.25600961538461,11.0,61.0,72.0,84.0,89.0,124.0,144.0,173.10000000000036,299.0
bn,english_passage_utf8_bytes,2496,323.2840544871795,55.0,252.0,297.0,327.0,347.25,518.5,580.0,717.3500000000013,943.0
bn,english_passage_whitespace_words,2496,54.765625,3.0,42.0,50.0,58.0,61.0,86.0,102.0,123.05000000000018,169.0
bn,english_query_characters,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
bn,english_query_tokens,250,7.752,2.0,6.0,7.0,9.0,10.0,12.0,13.0,14.509999999999991,18.0
bn,english_query_utf8_bytes,250,33.172,8.0,24.0,32.0,39.0,40.75,48.0,53.55000000000001,65.52999999999997,78.0
bn,english_query_whitespace_words,250,5.812,2.0,4.0,6.0,7.0,7.0,8.0,9.0,12.509999999999991,15.0
bn,passage_translation_character_ratio,2496,1.0009175966164459,0.3761609907120743,0.9166666666666666,0.9912536628869919,1.0435459840173371,1.0572390572390573,1.126051985372937,1.1696191948510855,1.2735018726591765,18.834437086092716
bn,passage_translation_word_ratio,2496,0.9099970395958014,0.25806451612903225,0.825,0.8958333333333334,0.95,0.9620850250776213,1.0222222222222221,1.0615433673469388,1.1712333022677852,31.375
